拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6294267,https://www.lagou.com/jobs/6294267.html?show=087544dcf3cf440099dd69beffd236c3,每日一淘,"移动互联网,电商",不需要融资,NULL,150-500人,https://www.mryitao.cn/,数仓开发工程师,"['电商', '数据仓库', 'ETL']",['电商'],['岗位职责：1. 负责全公司数据仓库和数据集市的模型设计、ETL 开发与性能优化；2. 深入理解业务，围绕数据分析搭建完善的数据服务，驱动业务的发展；任职要求;1. 理工科专业本科及以上学历，具备扎实的计算机技术能力，熟练掌握至少一门常见的编程语言 ;2. 2 年以上的数据仓库研发经验，熟练掌握 Hadoop/Hive/spark 等相关大 数据技术，并有相关的调优经验 ;3. 具备必要的数据仓库理论知识，有较好的数据仓库建模经验;4. 能适应和理解快速发展的业务，有较好的数据敏感度和良好的自驱力， 对工作充满热情;5. 良好的沟通能力、逻辑思维能力和团队协作精神;6. 优先：有互联网海量数据的建模与 ETL 经验; 7. 优先：在实时计算方面有较多经验'],24k-38k ,北京 ,经验3-5年 ,本科及以上 ,全职,北京,朝阳区,来广营,查看地图,1天前 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6841659,https://www.lagou.com/jobs/6841659.html?show=087544dcf3cf440099dd69beffd236c3,知衣科技,"移动互联网,电商",A轮,NULL,50-150人,https://www.zhiyitech.cn/,数据分析,['工具软件'],['大牛团队 大数据产品'],"['工作职责：', '1.\xa0负责电商领域的数据分析、数据挖掘与数据建模开发任务；', '2.\xa0深入理解业务方向和客户需求，基于电商大数据，进行深度统计分析；', '3.\xa0构建数据体系，推动数据产品化。', '任职条件：', '985/211', '1.\xa0熟练掌握Python编程语言及Linux操作系统命令；', '2.\xa0熟练使用MySQL/HiveQL、numpy/pandas/matplotlib等数据工具库；', '3.\xa0熟悉数据分析、数据挖掘、机器学习的常用算法原理、适用场景及开源工具；', '4.\xa0拥有2年以上电商数据分析/挖掘相关工作经验，良好的数据敏感度，能从繁杂数据提炼核心价值；', '5.\xa0具备良好的沟通能力和责任心，严谨踏实、条理清晰，能深度理解业务并优化数据分析结果。']",15k-20k ,杭州 ,经验1-3年 ,本科及以上 ,全职,杭州,萧山区,宁围,查看地图,09:40 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6850541,https://www.lagou.com/jobs/6850541.html?show=087544dcf3cf440099dd69beffd236c3,易点租,电商,D轮及以上,洪泰基金(天使轮)，源码资本　某政府主权机构(D轮及以上)，源码资本；顺为资本；经纬中国；鸿泰基金；考拉基金(C轮)，经纬中国；顺为资本；考拉基金；洪泰基金(B轮)，拉卡拉基金；经纬中国；顺为资本；1898友创(B轮)，经纬中国；顺为资本(A轮),500-2000人,http://www.edianzu.com,数据分析,"['电商', '企业服务', '数据分析', 'SPSS', 'SQL']","['平台大,千人规模,各种补助,地铁周边']","['技能要求：', '数据分析，统计学，销售业务数据', '我司主要做B2B业务，业务场景逻辑复杂，希望有相同经历的优秀人才加入！', '岗位要求', '1、定期追踪销售关键指标，并从业务层面分析存在的问题，洞察问题的原因，提出指导改进策略。', '2、销售业务关键业务流程分析，发现流程中的问题，提升销售效率；', '3、分析销售数据背后的真实销售数据以推动整个销售目标的达成；', '4、搭建销售数据体系，定期向部门提供日常报表、月报、季报等，针对指标数据异常，提出预警。', '任职资格：', '1、计算机、统计学、数学相关专业本科以上学历；', '2、具有较深的数据挖掘分析功底，两年以上数据挖掘相关工作经验，与销售运营、销售数据分析或业务管理等相关经验者优先考虑；', '3、熟悉常用数据分析工具，掌握sql语言、BI工具和Python分析；', '4、较强的组织、协调、沟通、人际交往能力以及敏锐的洞察力；', '5、责任心强，能承受较强的工作压力，具有很强的判断与决策能力，计划和执行能力及解决复杂问题的能力，能独立或支持团队完成数据分析工作；', '6、为人正直，踏实稳重，思维严谨，有良好的服务意识。']",10k-15k ,北京 ,经验3-5年 ,大专及以上 ,全职,北京,海淀区,西二旗,查看地图,09:40 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,5978724,https://www.lagou.com/jobs/5978724.html?show=087544dcf3cf440099dd69beffd236c3,富士康科技集团,"电商,数据服务",上市公司,NULL,2000人以上,http://www.foxconn.com,数据分析,"['大数据', '移动互联网', '数据库', 'BI', '数据分析', 'SQL']",['五险一金 绩效奖金 带薪休假 定期体检'],"['岗位职责：', '1. 依分析应用议题需求与分析方法论，运用统计与机器学习进行数据分析与挖掘；', '2. 负责生产/制程/周边等大数据信息萃取研发；', '3. 数据分析模型部署。', '任职要求：', '1. 具数据分析经验2年以上；', '2. 熟统计、及2种以上之机器学习算法；', '3. 熟R /Python / matlab(2种以上)、及SQL程序开发；', '4. 有制造业分析经验或预测数据项目实际经验尤佳。']",10k-20k ,郑州 ,经验3-5年 ,本科及以上 ,全职,郑州,NULL,航空港区,查看地图,09:45 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,4683625,https://www.lagou.com/jobs/4683625.html?show=087544dcf3cf440099dd69beffd236c3,海万科技,"移动互联网,金融",不需要融资,NULL,500-2000人,http://www.hiiso.com,数据分析,"['大数据', '数据分析']","['年终奖,体检旅游,过节费,节日礼金']","['岗位职责：', '1.负责数据仓库模型的需求分析、建模；\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0', '2.运用BI工具，根据场景需求、投递BI数据需求，研发可视化界面\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0', '岗位要求：', '1.本科及以上学历，3年以上经验，至少3年BI工作经验\xa0\xa0', '2.熟悉掌握：Qlikview\xa0 Tableau Cognos等精通：\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 3.数据仓库架构及远离，能进行数据仓库数据模型的设计、开发\xa0 4.精通Python\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 5.熟练掌握hadoop+spark+hase大数据平台构建、使用']",10k-18k ,上海 ,经验3-5年 ,本科及以上 ,全职,上海,浦东新区,洋泾,查看地图,09:25 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6851229,https://www.lagou.com/jobs/6851229.html?show=087544dcf3cf440099dd69beffd236c3,CLPS,"数据服务,金融",未融资,NULL,500-2000人,http://www.clps.com.cn,数据分析,"['BI', '可视化', 'SQL', '数据分析']",['晋升快 13薪'],"['1、需要1~4年数据分析经验', '2、学历本科或者硕士 （985/211）', '3、偏BI/有可视化经验', '4、英语听说流利']",12k-20k ,上海 ,经验1-3年 ,本科及以上 ,全职,上海,浦东新区,张江,查看地图,09:14 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6346077,https://www.lagou.com/jobs/6346077.html?show=087544dcf3cf440099dd69beffd236c3,易点租,电商,D轮及以上,洪泰基金(天使轮)，源码资本　某政府主权机构(D轮及以上)，源码资本；顺为资本；经纬中国；鸿泰基金；考拉基金(C轮)，经纬中国；顺为资本；考拉基金；洪泰基金(B轮)，拉卡拉基金；经纬中国；顺为资本；1898友创(B轮)，经纬中国；顺为资本(A轮),500-2000人,http://www.edianzu.com,数据分析,"['BI', 'SQL', '数据分析']",['独角兽企业，D+轮融资，试用期全薪'],"['我司为B2B硬件IT产品租赁行业独角兽，为了更快的适应我司的业务，希望有相关B2B行业对销售数据分析有经验的优秀人员加入！', '岗位要求：', '1、定期追踪销售关键指标，并从业务层面分析存在的问题，洞察问题的原因，提出指导改进策略。', ' 2、销售业务关键业务流程分析，发现流程中的问题，提升销售效率；', '3、分析销售数据背后的真实销售数据以推动整个销售目标的达成；', '4、搭建销售数据体系，定期向部门提供日常报表、月报、季报等，针对指标数据异常，提出预警。', '任职资格：', ' 1、计算机、统计学、数学相关专业本科以上学历；', '2、具有较深的数据挖掘分析功底，两年以上数据挖掘相关工作经验，与销售运营、销售数据分析或业务管理等相关经验者优先考虑；', '3、熟悉常用数据分析工具，掌握sql语言、powerBI工具和Python分析；', ' 3、较强的组织、协调、沟通、人际交往能力以及敏锐的洞察力；', ' 4、责任心强，能承受较强的工作压力，具有很强的判断与决策能力，计划和执行能力及解决复杂问题的能力，能独立或支持团队完成数据分析工作；', ' 5、为人正直，踏实稳重，思维严谨，有良好的服务意识。']",15k-20k ,北京 ,经验3-5年 ,本科及以上 ,全职,北京,海淀区,西三旗,查看地图,09:16 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6869080,https://www.lagou.com/jobs/6869080.html?show=087544dcf3cf440099dd69beffd236c3,凌志软件,金融,上市公司,NULL,2000人以上,http://www.linkstec.com,数据分析,"['证券/期货', 'ETL', 'Hive', '数据仓库', '数据分析']",['上市公司，五险一金，下午茶，公司旅游'],"['岗位职责：\xa0', '1.参与项目的需求调研、数据开发和优化与维护工作\xa0', '2.协助风控、合规等部门相关数据管理类系统的二次开发与支持工作\xa0', '3.负责指派任务开发和测试工作，以及相关文档的编写工作\xa0', '4.参与业务或技术部门临时数据分析需求的调研、分析及实现，为各业务部门提供数据支撑\xa0', '5.负责业务系统的数据采集与收集工作，为相关部门对业务系统数据监控、数据分析统计提供基础数据\xa0', '任职要求：\xa0', '1、35周岁（含）及以下，计算机/金融相关专业，具有证券行业信息系统研发或数据仓库开发经验者优先；\xa0', '2、熟练使用SQL语言，熟悉结构化数据库ORACLE、MySQL等，熟悉大数据生态系统相关技术Hadoop、Spark、Hive、HBase、Kafka、Elastic Stack等，熟练使用Linux操作系统；\xa0', '3、熟悉常用的ETL工具，熟悉Unix/Linux操作系统。熟练使用kettle/Python/Shell优先；\xa0', '4、具有优秀的团队合作精神、强烈的责任心和团队合作能力，能够自发高效的完成各项任务。性格开朗，善于沟通，良好的学习能力，逻辑思维能力并且敢于创新和接受挑战。\xa0']",12k-17k ,苏州 ,经验3-5年 ,本科及以上 ,全职,苏州,NULL,工业园区,查看地图,09:13 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6835783,https://www.lagou.com/jobs/6835783.html?show=087544dcf3cf440099dd69beffd236c3,YIDATEC,"移动互联网,游戏",不需要融资,NULL,2000人以上,http://www.yidatec.com/,数据分析,"['云计算', '大数据', 'SQL', '数据分析', 'BI', '数据库']","['免费班车,周末双休,六险一金,年度旅游']","['岗位要求：', '1.大学本科学历，条件优秀者可适当放宽到大专', '2.有一年及以上的数据分析经验，熟练使用sql等数据查询语句。', '3.善于学习和接受新鲜事务。', '4.工作认真细致，有较好的沟通能力和团队合作精神。', '岗位职责：', '1、构建全面、准确、能反映业务线特征的整体指标体系；', '2、对多种数据进行深度诊断分析、挖掘；', '3、报表系统自动化搭建，报表可视化和自动化；', '4、调研数据需求，进行数据专题分析，针对数据纬度、分析指标等数据体系搭建工作。']",8k-10k ,深圳 ,经验1-3年 ,大专及以上 ,全职,深圳,南山区,科技园,查看地图,09:12 发布于拉勾网
拉勾,数据分析,https://www.lagou.com/jobs/list_数据分析?labelWords=&fromSearch=true&suginput=,6856589,https://www.lagou.com/jobs/6856589.html?show=087544dcf3cf440099dd69beffd236c3,三代人科技,"移动互联网,医疗丨健康",不需要融资,NULL,150-500人,http://www.threegene.com/,数据分析,"['可视化', 'BI', '数据库', 'SQL']",['团队氛围棒，绩效奖金，扁平化管理'],"['岗位职责：', '1、负责大数据部各业务的数据分析工作；', '2、承接各部门的数据分析专项；', '3、搭建并完善业务的报表及监控体系，通过对数据的敏锐洞察，迅速定位内部问题或发现机会，针对异常情况协调资源进行跟踪和深入分析；', '4、建设与完善数据分析体系方法论，关注业务动态，解决业务的核心诉求，通过数据驱动业务增长的同时，挖掘流量、产品、策略的商业变现机会，驱动商业化业务发展；', '5、负责业务的精细化运营工作。', '任职要求：', '1、本科及以上学历，三年以上工作经验，计算机科学、数据科学、机器学习、统计学、应用数学等领域优先；\xa0', '2、熟练使用sql，hive等技术，对大数据计算有一定了解；', '3、熟练掌握数据分析工具（R、python、excel等），能够独立产出数据报告；', '4、有一定的业务数据敏感度，较强的数据分析能力、逻辑思维能力，以及分析问题、解决问题的能力；', '5、有推荐/广告/搜索等机器学习相关的算法经验优先；', '6、较强的沟通能力和团队合作能力，勇于承担工作压力。']",10k-15k ,深圳 ,经验3-5年 ,本科及以上 ,全职,深圳,南山区,科技园,查看地图,08:57 发布于拉勾网
